"activity_level","activity_year","activity_month","geo_lvl","geo_val","prim_lvl","activity_count"
"Monthly activity","2019","1","National","All England","Total",216542
"Monthly activity","2019","2","National","All England","Total",189614
"Monthly activity","2019","3","National","All England","Total",203228
"Monthly activity","2019","4","National","All England","Total",205610
"Monthly activity","2019","5","National","All England","Total",217544
"Monthly activity","2019","6","National","All England","Total",196078
"Monthly activity","2019","7","National","All England","Total",225381
"Monthly activity","2019","8","National","All England","Total",212244
"Monthly activity","2019","9","National","All England","Total",207929
"Monthly activity","2019","10","National","All England","Total",227135
"Monthly activity","2019","11","National","All England","Total",208902
"Monthly activity","2019","12","National","All England","Total",206417
"Monthly activity","2020","1","National","All England","Total",233001
"Monthly activity","2020","2","National","All England","Total",204954
"Monthly activity","2020","3","National","All England","Total",209523
"Monthly activity","2020","4","National","All England","Total",170866
"Monthly activity","2020","5","National","All England","Total",163975
"Monthly activity","2020","6","National","All England","Total",187321
"Monthly activity","2020","7","National","All England","Total",202372
"Monthly activity","2020","8","National","All England","Total",186325
"Monthly activity","2020","9","National","All England","Total",211105
"Monthly activity","2020","10","National","All England","Total",214486
"Monthly activity","2020","11","National","All England","Total",207062
"Monthly activity","2020","12","National","All England","Total",222884
"Monthly activity","2021","1","National","All England","Total",208250
"Monthly activity","2021","2","National","All England","Total",202347
"Monthly activity","2021","3","National","All England","Total",240379
"Monthly activity","2021","4","National","All England","Total",227146
"Monthly activity","2021","5","National","All England","Total",215236
"Monthly activity","2021","6","National","All England","Total",237406
"Monthly activity","2021","7","National","All England","Total",230972
"Monthly activity","2021","8","National","All England","Total",204989
"Monthly immunosuppressive treatments","2019","1","National","All England","Total",162646
"Monthly immunosuppressive treatments","2019","2","National","All England","Total",143194
"Monthly immunosuppressive treatments","2019","3","National","All England","Total",152691
"Monthly immunosuppressive treatments","2019","4","National","All England","Total",154206
"Monthly immunosuppressive treatments","2019","5","National","All England","Total",162518
"Monthly immunosuppressive treatments","2019","6","National","All England","Total",146311
"Monthly immunosuppressive treatments","2019","7","National","All England","Total",168143
"Monthly immunosuppressive treatments","2019","8","National","All England","Total",158328
"Monthly immunosuppressive treatments","2019","9","National","All England","Total",153861
"Monthly immunosuppressive treatments","2019","10","National","All England","Total",168579
"Monthly immunosuppressive treatments","2019","11","National","All England","Total",155344
"Monthly immunosuppressive treatments","2019","12","National","All England","Total",152005
"Monthly immunosuppressive treatments","2020","1","National","All England","Total",171152
"Monthly immunosuppressive treatments","2020","2","National","All England","Total",151624
"Monthly immunosuppressive treatments","2020","3","National","All England","Total",151981
"Monthly immunosuppressive treatments","2020","4","National","All England","Total",120151
"Monthly immunosuppressive treatments","2020","5","National","All England","Total",116692
"Monthly immunosuppressive treatments","2020","6","National","All England","Total",131966
"Monthly immunosuppressive treatments","2020","7","National","All England","Total",143522
"Monthly immunosuppressive treatments","2020","8","National","All England","Total",132090
"Monthly immunosuppressive treatments","2020","9","National","All England","Total",150034
"Monthly immunosuppressive treatments","2020","10","National","All England","Total",152827
"Monthly immunosuppressive treatments","2020","11","National","All England","Total",147857
"Monthly immunosuppressive treatments","2020","12","National","All England","Total",158171
"Monthly immunosuppressive treatments","2021","1","National","All England","Total",149084
"Monthly immunosuppressive treatments","2021","2","National","All England","Total",145253
"Monthly immunosuppressive treatments","2021","3","National","All England","Total",172484
"Monthly immunosuppressive treatments","2021","4","National","All England","Total",162516
"Monthly immunosuppressive treatments","2021","5","National","All England","Total",154700
"Monthly immunosuppressive treatments","2021","6","National","All England","Total",170722
"Monthly immunosuppressive treatments","2021","7","National","All England","Total",165305
"Monthly immunosuppressive treatments","2021","8","National","All England","Total",145848
"Monthly new patients","2019","1","National","All England","Total",10691
"Monthly new patients","2019","2","National","All England","Total",9145
"Monthly new patients","2019","3","National","All England","Total",9815
"Monthly new patients","2019","4","National","All England","Total",9403
"Monthly new patients","2019","5","National","All England","Total",9821
"Monthly new patients","2019","6","National","All England","Total",9275
"Monthly new patients","2019","7","National","All England","Total",10696
"Monthly new patients","2019","8","National","All England","Total",9481
"Monthly new patients","2019","9","National","All England","Total",9379
"Monthly new patients","2019","10","National","All England","Total",10757
"Monthly new patients","2019","11","National","All England","Total",9900
"Monthly new patients","2019","12","National","All England","Total",8871
"Monthly new patients","2020","1","National","All England","Total",10601
"Monthly new patients","2020","2","National","All England","Total",9444
"Monthly new patients","2020","3","National","All England","Total",9013
"Monthly new patients","2020","4","National","All England","Total",5996
"Monthly new patients","2020","5","National","All England","Total",7251
"Monthly new patients","2020","6","National","All England","Total",8014
"Monthly new patients","2020","7","National","All England","Total",8704
"Monthly new patients","2020","8","National","All England","Total",7738
"Monthly new patients","2020","9","National","All England","Total",8971
"Monthly new patients","2020","10","National","All England","Total",9600
"Monthly new patients","2020","11","National","All England","Total",9311
"Monthly new patients","2020","12","National","All England","Total",9196
"Monthly new patients","2021","1","National","All England","Total",9110
"Monthly new patients","2021","2","National","All England","Total",8876
"Monthly new patients","2021","3","National","All England","Total",10585
"Monthly new patients","2021","4","National","All England","Total",9177
"Monthly new patients","2021","5","National","All England","Total",9291
"Monthly new patients","2021","6","National","All England","Total",9862
"Monthly new patients","2021","7","National","All England","Total",9630
"Monthly new patients","2021","8","National","All England","Total",8250
"Monthly patients","2019","1","National","All England","Total",87156
"Monthly patients","2019","2","National","All England","Total",82935
